year,province,share_historical,national_target_mw,target_source,guard_active,allocated_min_total_mw,allocated_max_total_mw,allow_underbuild_only
2045,Fujian,0.014522334667984724,5284984.371946922,national_capacity_csv,True,0.0,76750.31176448225,True
2045,Gansu,0.03243078422029571,5284984.371946922,national_capacity_csv,True,0.0,171396.18777424566,True
2045,Guangdong,0.052351878587023774,5284984.371946922,national_capacity_csv,True,0.0,276678.8601744833,True
2045,Guangxi,0.02629861817354261,5284984.371946922,national_capacity_csv,True,0.0,138987.78605097198,True
2045,Guizhou,0.024609561129641352,5284984.371946922,national_capacity_csv,True,0.0,130061.14597062697,True
2045,Hainan,0.008425727716892704,5284984.371946922,national_capacity_csv,True,0.0,44529.839306057955,True
2045,Hebei,0.07247032593467083,5284984.371946922,national_capacity_csv,True,0.0,383004.53999463504,True
2045,Heilongjiang,0.007676319775835461,5284984.371946922,national_capacity_csv,True,0.0,40569.23004935751,True
2045,Henan,0.046738875336922434,5284984.371946922,national_capacity_csv,True,0.0,247014.22571801048,True
2045,Hubei,0.03878163870536445,5284984.371946922,national_capacity_csv,True,0.0,204960.35447634294,True
2045,Hunan,0.02326542731365256,5284984.371946922,national_capacity_csv,True,0.0,122957.41975932084,True
2045,InnerMongolia,0.0452551720704639,5284984.371946922,national_capacity_csv,True,0.0,239172.87714217053,True
2045,Jiangsu,0.07655428807134577,5284984.371946922,national_capacity_csv,True,0.0,404588.21606258507,True
2045,Jiangxi,0.024987376521040317,5284984.371946922,national_capacity_csv,True,0.0,132057.89440965152,True
2045,Jilin,0.006233509469387175,5284984.371946922,national_capacity_csv,True,0.0,32944.00012809437,True
2045,Liaoning,0.013437782250321809,5284984.371946922,national_capacity_csv,True,0.0,71018.46918657649,True
2045,Ningxia,0.031384457830468455,5284984.371946922,national_capacity_csv,True,0.0,165866.36915605297,True
2045,Qinghai,0.034391868346004224,5284984.371946922,national_capacity_csv,True,0.0,181760.48673068834,True
2045,Shaanxi,0.036010696175974855,5284984.371946922,national_capacity_csv,True,0.0,190315.96651295587,True
2045,Shandong,0.0815441181699867,5284984.371946922,national_capacity_csv,True,0.0,430959.3901525727,True
2045,Shanghai,0.005079616815185156,5284984.371946922,national_capacity_csv,True,0.0,26845.695483732343,True
2045,Shanxi,0.04297850097076331,5284984.371946922,national_capacity_csv,True,0.0,227140.70596018972,True
2045,Sichuan,0.0145676725149526,5284984.371946922,national_capacity_csv,True,0.0,76989.9215771652,True
2045,Tianjin,0.008779540718720441,5284984.371946922,national_capacity_csv,True,0.0,46399.73549130918,True
2045,Tibet,0.004790699162938888,5284984.371946922,national_capacity_csv,True,0.0,25318.77020683122,True
2045,Xinjiang,0.07108263222649722,5284984.371946922,national_capacity_csv,True,0.0,375670.6004338884,True
2045,Yunnan,0.046232158223752054,5284984.371946922,national_capacity_csv,True,0.0,244336.23369390695,True
2045,Zhejiang,0.05427740361707121,5284984.371946922,national_capacity_csv,True,0.0,286855.22986607667,True
2050,Anhui,0.04834347952862863,6213785.263813442,national_capacity_csv,True,0.0,300396.0006964594,True
2050,Beijing,0.001711281478689434,6213785.263813442,national_capacity_csv,True,0.0,10633.535634517282,True
2050,Chongqing,0.004786254275981254,6213785.263813442,national_capacity_csv,True,0.0,29740.75628895639,True
2050,Fujian,0.014522334667984724,6213785.263813442,national_capacity_csv,True,0.0,90238.66915609055,True
2050,Gansu,0.03243078422029571,6213785.263813442,national_capacity_csv,True,0.0,201517.92908198698,True
2050,Guangdong,0.052351878587023774,6213785.263813442,national_capacity_csv,True,0.0,325303.3316969988,True
2050,Guangxi,0.02629861817354261,6213785.263813442,national_capacity_csv,True,0.0,163413.96606541544,True
2050,Guizhou,0.024609561129641352,6213785.263813442,national_capacity_csv,True,0.0,152918.5282962815,True
2050,Hainan,0.008425727716892704,6213785.263813442,national_capacity_csv,True,0.0,52355.66272413236,True
2050,Hebei,0.07247032593467083,6213785.263813442,national_capacity_csv,True,0.0,450315.04335661465,True
2050,Heilongjiang,0.007676319775835461,6213785.263813442,national_capacity_csv,True,0.0,47699.00270340609,True
2050,Henan,0.046738875336922434,6213785.263813442,national_capacity_csv,True,0.0,290425.33481578215,True
2050,Hubei,0.03878163870536445,6213785.263813442,national_capacity_csv,True,0.0,240980.7750939306,True
2050,Hunan,0.02326542731365256,6213785.263813442,national_capacity_csv,True,0.0,144566.36939789704,True
2050,InnerMongolia,0.0452551720704639,6213785.263813442,national_capacity_csv,True,0.0,281205.9213227902,True
2050,Jiangsu,0.07655428807134577,6213785.263813442,national_capacity_csv,True,0.0,475691.9070994575,True
2050,Jiangxi,0.024987376521040317,6213785.263813442,national_capacity_csv,True,0.0,155266.1920077983,True
2050,Jilin,0.006233509469387175,6213785.263813442,national_capacity_csv,True,0.0,38733.68928271957,True
2050,Liaoning,0.013437782250321809,6213785.263813442,national_capacity_csv,True,0.0,83499.49332538349,True
2050,Ningxia,0.031384457830468455,6213785.263813442,national_capacity_csv,True,0.0,195016.28157973927,True
2050,Qinghai,0.034391868346004224,6213785.263813442,national_capacity_csv,True,0.0,213703.68472341303,True
2050,Shaanxi,0.036010696175974855,6213785.263813442,national_capacity_csv,True,0.0,223762.7332379356,True
2050,Shandong,0.0815441181699867,6213785.263813442,national_capacity_csv,True,0.0,506697.6398353253,True
2050,Shanghai,0.005079616815185156,6213785.263813442,national_capacity_csv,True,0.0,31563.648112016486,True
2050,Shanxi,0.04297850097076331,6213785.263813442,national_capacity_csv,True,0.0,267059.17599292076,True
2050,Sichuan,0.0145676725149526,6213785.263813442,national_capacity_csv,True,0.0,90520.38880147257,True
2050,Tianjin,0.008779540718720441,6213785.263813442,national_capacity_csv,True,0.0,54554.180741035154,True
2050,Tibet,0.004790699162938888,6213785.263813442,national_capacity_csv,True,0.0,29768.37586203305,True
2050,Xinjiang,0.07108263222649722,6213785.263813442,national_capacity_csv,True,0.0,441692.21264207887,True
2050,Yunnan,0.046232158223752054,6213785.263813442,national_capacity_csv,True,0.0,287276.7034850419,True
2050,Zhejiang,0.05427740361707121,6213785.263813442,national_capacity_csv,True,0.0,337268.13075381145,True
2055,Anhui,0.04834347952862863,6712032.385895534,national_capacity_csv,True,0.0,324483.00024303317,True
2055,Beijing,0.001711281478689434,6712032.385895534,national_capacity_csv,True,0.0,11486.17670634668,True
2055,Chongqing,0.004786254275981254,6712032.385895534,national_capacity_csv,True,0.0,32125.49370751716,True
2055,Fujian,0.014522334667984724,6712032.385895534,national_capacity_csv,True,0.0,97474.38061032695,True
2055,Gansu,0.03243078422029571,6712032.385895534,national_capacity_csv,True,0.0,217676.47398661467,True
2055,Guangdong,0.052351878587023774,6712032.385895534,national_capacity_csv,True,0.0,351387.50453857455,True
2055,Guangxi,0.02629861817354261,6712032.385895534,national_capacity_csv,True,0.0,176517.17688511885,True
2055,Guizhou,0.024609561129641352,6712032.385895534,national_capacity_csv,True,0.0,165180.17130482863,True
2055,Hainan,0.008425727716892704,6712032.385895534,national_capacity_csv,True,0.0,56553.75731052147,True
2055,Hebei,0.07247032593467083,6712032.385895534,national_capacity_csv,True,0.0,486423.1746899157,True
2055,Heilongjiang,0.007676319775835461,6712032.385895534,national_capacity_csv,True,0.0,51523.706939897966,True
2055,Henan,0.046738875336922434,6712032.385895534,national_capacity_csv,True,0.0,313712.84494175744,True
2055,Hubei,0.03878163870536445,6712032.385895534,national_capacity_csv,True,0.0,260303.61496850595,True
2055,Hunan,0.02326542731365256,6712032.385895534,national_capacity_csv,True,0.0,156158.30160093453,True
2055,InnerMongolia,0.0452551720704639,6712032.385895534,national_capacity_csv,True,0.0,303754.18056622875,True
2055,Jiangsu,0.07655428807134577,6712032.385895534,national_capacity_csv,True,0.0,513834.860814049,True
2055,Jiangxi,0.024987376521040317,6712032.385895534,national_capacity_csv,True,0.0,167716.0804477883,True
2055,Jilin,0.006233509469387175,6712032.385895534,national_capacity_csv,True,0.0,41839.5174363132,True
2055,Liaoning,0.013437782250321809,6712032.385895534,national_capacity_csv,True,0.0,90194.82965877216,True
2055,Ningxia,0.031384457830468455,6712032.385895534,national_capacity_csv,True,0.0,210653.49737187696,True
