snapshot,province,load_mw,min_output_floor_mw,thermal_stage1_mw,min_output_deficit_mw,min_output_binding,vre_stage1_mw,vre_curtailment_total_mw,thermal_stage2_mw,vre_stage2_mw,onwind_stage1_mw,onwind_curtailment_mw,onwind_stage2_mw,offwind_stage1_mw,offwind_curtailment_mw,offwind_stage2_mw,solar_stage1_mw,solar_curtailment_mw,solar_stage2_mw
2025-09-22 18:00:00,Shandong,114658.8466802718,11465.884668027182,108962.99462132642,0.0,False,3023.3655195274578,0.0,108962.99462132642,3023.3655195274578,1168.482900983856,0.0,1168.482900983856,390.9004300718193,0.0,390.9004300718193,1463.9821884717824,0.0,1463.9821884717824
2025-09-22 19:00:00,Shandong,123628.77971617677,12362.877971617678,118814.30242528292,0.0,False,2085.5479360862178,0.0,118814.30242528292,2085.5479360862178,1648.1240722400275,0.0,1648.1240722400275,437.4238638461903,0.0,437.4238638461903,0.0,0.0,0.0
2025-09-22 20:00:00,Shandong,121181.36102540637,12118.136102540637,116211.91964137371,0.0,False,2523.3022853272787,0.0,116211.91964137371,2523.3022853272787,1977.4784943606323,0.0,1977.4784943606323,545.8237909666464,0.0,545.8237909666464,0.0,0.0,0.0
2025-09-22 21:00:00,Shandong,118255.52206435312,11825.552206435314,113132.74615369416,0.0,False,2848.6046790442583,0.0,113132.74615369416,2848.6046790442583,2207.9443147448405,0.0,2207.9443147448405,640.6603642994177,0.0,640.6603642994177,0.0,0.0,0.0
2025-09-22 22:00:00,Shandong,113236.20488171738,11323.620488171739,108297.00294719553,0.0,False,2833.337039957413,0.0,108297.00294719553,2833.337039957413,2192.6901031775255,0.0,2192.6901031775255,640.6469367798873,0.0,640.6469367798873,0.0,0.0,0.0
2025-09-22 23:00:00,Shandong,107851.55513279284,10785.155513279286,103255.94453973764,0.0,False,2649.9393532292856,0.0,103255.94453973764,2649.9393532292856,2031.5371366817142,0.0,2031.5371366817142,618.4022165475715,0.0,618.4022165475715,0.0,0.0,0.0
2025-09-23 00:00:00,Shandong,88681.07805127397,8868.107805127398,85251.72943963895,0.0,False,2433.9580664363757,0.0,85251.72943963895,2433.9580664363757,1843.7503096945106,0.0,1843.7503096945106,590.2077567418651,0.0,590.2077567418651,0.0,0.0,0.0
2025-09-23 01:00:00,Shandong,87864.77805355222,8786.477805355222,84740.51331872214,0.0,False,2187.73235590077,0.0,84740.51331872214,2187.73235590077,1647.492707103473,0.0,1647.492707103473,540.239648797297,0.0,540.239648797297,0.0,0.0,0.0
2025-09-23 02:00:00,Shandong,87118.1853905999,8711.81853905999,84253.34594521171,0.0,False,1976.5188159657132,0.0,84253.34594521171,1976.5188159657132,1481.253720793161,0.0,1481.253720793161,495.2650951725524,0.0,495.2650951725524,0.0,0.0,0.0
2025-09-23 03:00:00,Shandong,85253.07940136889,8525.307940136889,82850.54582285904,0.0,False,1758.562143204871,0.0,82850.54582285904,1758.562143204871,1306.608073509104,0.0,1306.608073509104,451.9540696957671,0.0,451.9540696957671,0.0,0.0,0.0
2025-09-23 04:00:00,Shandong,83465.72042618447,8346.572042618447,81323.74325639251,0.0,False,1576.812760752038,0.0,81323.74325639251,1576.812760752038,1146.326565440708,0.0,1146.326565440708,430.48619531133,0.0,430.48619531133,0.0,0.0,0.0
2025-09-23 05:00:00,Shandong,87620.8959744151,8762.08959744151,85143.32193589395,0.0,False,1462.6293447472349,0.0,85143.32193589395,1462.6293447472349,1028.4950775950074,0.0,1028.4950775950074,434.1342671522274,0.0,434.1342671522274,0.0,0.0,0.0
2025-09-23 06:00:00,Shandong,90533.91272509939,9053.39127250994,87869.55682091985,0.0,False,1392.2614925442722,0.0,87869.55682091985,1392.2614925442722,953.4781355240841,0.0,953.4781355240841,438.7833570201882,0.0,438.7833570201882,0.0,0.0,0.0
